Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Test level),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
S01 - Search - Khách hàng có thể tìm sản phẩm theo giá,N4-50,10282,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 5:19 PM,05/Jan/23 5:19 PM,05/Jan/23 5:20 PM,05/Jan/23 5:19 PM,,0,Search, Khách hàng có thể tìm sản phẩm theo giá,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,như mong đợi,,,,,,,,,,N4-3,,,Hiện ra sản phẩm với mức giá cần tìm,,,,,0|i001pb:,,,,,,,,,,1) Click vào khoản giá cần tìm,,Unit,Pass,,,Done
LO01- Log out - Khách hàng có thể đăng xuất tài khoản,N4-49,10281,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 5:17 PM,05/Jan/23 5:17 PM,05/Jan/23 5:20 PM,05/Jan/23 5:17 PM,,0,Login, Khách hàng có thể đăng xuất tài khoản,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-2,,,Khách hàng có thể đăng xuất tài khoản,,,,,0|i001p3:,,N4 Sprint 1,,,,,,,,"1) Click chuột vào đăng xuất
2) Chuyển trang web về trang chủ",,Unit,Pass,,,Done
SM - History - Khách hàng có thể xem lịch sử giao dịch sau khi thanh toán,N4-48,10280,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 5:08 PM,05/Jan/23 5:08 PM,05/Jan/23 5:20 PM,05/Jan/23 5:08 PM,,0,History,Khách hàng có thể xem lịch sử giao dịch sau khi thanh toán,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-8,,,Khách hàng có thể xem lịch sử giao dịch sau khi thanh toán,,,,,0|i001ov:,,N4 Sprint 1,,,,,,,,1) Sau khi thanh toán chọn thông tin cá nhân,,System,Pass,,,Done
SM - Payment -  Khách hàng click vào phương thức thanh toán sẽ chuyển đến trang tiếp theo,N4-47,10279,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:54 PM,05/Jan/23 4:58 PM,05/Jan/23 5:20 PM,05/Jan/23 4:54 PM,,0,Payment, Khách hàng click vào phương thức thanh toán sẽ chuyển đến trang tiếp theo,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,N4-45,N4-43,N4-42,N4-41,,,,Như mong đợi,,,,,,,,,,N4-10,,,Khách hàng click vào phương thức thanh toán sẽ chuyển đến trang tiếp theo,,,,,0|i001on:,,,,,,,,,,1) Click chuột vào Phương thức thanh toán,,System,Pass,,,Done
IPF07- Verify Search - Search is invalid,N4-46,10278,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 4:51 PM,05/Jan/23 5:10 PM,05/Jan/23 5:20 PM,,,0,Search,"Search is invalid , system  show an error 

test data

search:  (nhập vào nhiều khoảng trắng)",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,,,"System show ""Hiện kết quả""",,,,,,,,,,N4-3,,,"System show ""Không có kết quả""",,,,,0|i001of:,,N4 Sprint 1,,,,,,,,"1. click on search
2. Enter blank",,Integration,Fail,,,In Progress
"P04 - Payment - Tỉnh/ quận, huyện / phường, xã không được để trống",N4-45,10277,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:46 PM,05/Jan/23 4:58 PM,05/Jan/23 5:20 PM,05/Jan/23 4:46 PM,,0,Payment,"Tỉnh/ quận, huyện / phường, xã không được để trống",,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,N4-47,,,Như mong đợi,,,,,,,,,,N4-10,,,"Tỉnh/ quận, huyện / phường, xã không được để trống",,,,,0|i001o7:,,N4 Sprint 1,,,,,,,,"1)Nhập đầy đủ thông tin theo yêu cầu
2) Không click chuột vào form tỉnh/ quận,huyện/ phường, xã
3)Click chuột vào Phương thức thanh toán",,Unit,Pass,,,Done
"SM - Verify Sign Up - Đăng kí Thành công, chuyển qua màn hình đăng nhập",N4-44,10276,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 4:45 PM,05/Jan/23 4:46 PM,05/Jan/23 5:20 PM,05/Jan/23 4:46 PM,,0,SignUp," Đăng kí Thành công, chuyển qua màn hình đăng nhập",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,,,sau khi đăng kí thành công tự động đăng nhập,,,,,,,,,,N4-1,,,sau khi đăng kí thành công tự động đăng nhập,,,,,0|i001nz:,,N4 Sprint 1,,,,,,,,"1. Enter require all field
2. Đăng kí",,System,Pass,,,Done
P03 - Payment - Địa chỉ không được để trống,N4-43,10275,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:43 PM,05/Jan/23 4:58 PM,05/Jan/23 5:20 PM,05/Jan/23 4:43 PM,,0,Payment,Địa chỉ không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,N4-47,,,Như mong đợi,,,,,,,,,,N4-10,,,Địa chỉ không được để trống,,,,,0|i001nr:,,N4 Sprint 1,,,,,,,,"1) Không nhập dữ liệu vào form địa chỉ
2) Nhập đầy đủ thông tin còn lại theo yêu cầu
3)Click chuột vào Phương thức thanh toán",,Unit,Pass,,,Done
P02 - Payment - Số điện thoại không được để trống,N4-42,10274,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:38 PM,05/Jan/23 4:58 PM,05/Jan/23 5:20 PM,05/Jan/23 4:40 PM,,0,Payment,Số điện thoại không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,N4-47,,,Như mong đợi,,,,,,,,,,N4-10,,,Số điện thoại không được để trống,,,,,0|i001nj:,,N4 Sprint 1,,,,,,,,"1)Không nhập thông tin vào form số điện thoại
2) Nhập tất cả thông tin còn lại theo yêu cầu
3) Click chuột vào Phương thức thanh toán",,Unit,Pass,,,Done
P01 - Payment - Họ và tên không được để trống,N4-41,10273,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:35 PM,05/Jan/23 4:58 PM,05/Jan/23 5:20 PM,05/Jan/23 4:35 PM,,0,Payment,Họ và tên không được để trống ,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,N4-47,,,Như mong đợi,,,,,,,,,,N4-10,,,Họ và tên không để trống,,,,,0|i001nb:,,N4 Sprint 1,,,,,,,,"1) Không nhập dữ liệu vào form Họ và tên
2) Nhập đầy đủ các thông tin còn lại 
3) Click chuột vào Phương thức thanh toán",,Unit,Pass,,,Done
